N°,Descripción,Repetición,Tratamiento,Unidad Muestral,Longitud de fruto (mm),Ancho de fruto (mm),Peso de fruto (g),Sólidos solubles totales (°Brix),Firmeza del fruto (kg.cm2),Peso de la semilla sin endocarpo (g),Número de embriones desarrollados por semilla,Número de plúmulas por semilla,Número de hojas por embrión,"Exudación fenólica (0,1-ausencia, presencia)","Contaminación por microorganismos (0,1-ausencia,presencia)","Establecimiento (0,1 embriones muertos, embriones en desarrollo)"
1,MF0%AC0%JL,1,1,1,"72,7","57,11","119,7","10,4","5,2","11,2",4,0,0,0,1,1
2,MF0%AC0%JL,1,1,2,"63,61","59,03","98,4",,"6,4","10,4",4,0,0,1,1,0
3,MF0%AC0%JL,1,1,3,"73,25","61,15","144,1",,"10,4","13,3",5,0,0,1,1,0
4,MF0%AC0%JL,1,1,4,"67,4","57,5","97,4",,"8,6","12,1",3,0,0,0,0,1
5,MF0%AC0%JL,1,1,5,"67,93","53,92","108,9",,"9,2","11,3",2,0,0,1,1,0
6,MF0%AC0%JL,2,1,1,"62,95","53,76","94,3","10,2","4,1","7,8",5,1,2,0,0,1
7,MF0%AC0%JL,2,1,2,"68,02","52,88","93,5",,"6,3","11,3",4,0,0,1,1,0
8,MF0%AC0%JL,2,1,3,"62,69","56,11","93,6",,"6,4","9,8",5,1,3,1,1,1
9,MF0%AC0%JL,2,1,4,64.35,58.22,103.7,,6,"9,8",3,0,0,1,1,0
10,MF0%AC0%JL,2,1,5,65.25,57.31,106.9,,"7,2",10,3,0,0,1,0,0
11,MF0%AC0%JL,3,1,1,"111,5","70,13","57,67","10,3","6,4","11,8",5,0,0,0,0,1
12,MF0%AC0%JL,3,1,2,"97,5","64,97","58,34",,"6,1","10,1",5,0,0,1,1,1
13,MF0%AC0%JL,3,1,3,"121,6","66,31","59,54",,"4,6","11,1",4,0,0,1,1,0
14,MF0%AC0%JL,3,1,4,104,"66,82","55,25",,"8,7","10,1",4,1,2,1,0,1
15,MF0%AC0%JL,3,1,5,"92,7","60,81","55,99",,"4,4","9,6",3,0,0,1,1,1
16,MF0%AC0%JL,4,1,1,"111,5","71,91","53,32","10,4","5,7","11,4",4,0,0,0,0,1
17,MF0%AC0%JL,4,1,2,"77,6","61,35","55,66",,8,"9,1",4,0,0,1,1,0
18,MF0%AC0%JL,4,1,3,"85,7","65,46","48,42",,"7,8","11,4",3,0,0,1,1,0
19,MF0%AC0%JL,4,1,4,95,"63,81","53,3",,"7,2","9,1",4,1,1,1,0,1
20,MF0%AC0%JL,4,1,5,"99,8","66,04","52,89",,"6,2",11,3,0,0,1,1,0
21,MF0%AC1.5%JL,1,2,1,"63,4","52,44","86,7",8,"6,4","8,8",4,0,0,1,1,1
22,MF0%AC1.5%JL,1,2,2,"60,07","48,65","73,7",,"5,6","8,6",5,0,0,1,0,1
23,MF0%AC1.5%JL,1,2,3,"69,69","59,84","123,5",,"7,6","11,8",7,0,0,1,1,0
24,MF0%AC1.5%JL,1,2,4,"62,66","52,77","83,9",,5,9,4,0,0,1,1,0
25,MF0%AC1.5%JL,1,2,5,"75,09","64,71","148,2",,7,"10,9",4,0,0,1,1,0
26,MF0%AC1.5%JL,2,2,1,"53,82","64,37","98,7","7,9",4,"9,6",2,0,0,1,1,0
27,MF0%AC1.5%JL,2,2,2,"64,27","53,6","92,3",,"5,4",9,6,0,0,0,1,1
28,MF0%AC1.5%JL,2,2,3,"63,69","52,77","92,6",,"8,4","9,7",5,2,"2,5",0,0,1
29,MF0%AC1.5%JL,2,2,4,"71,24","59,95","133,5",,"3,7","9,8",1,0,0,1,1,1
30,MF0%AC1.5%JL,2,2,5,"62,95","51,56","88,2",,"5,4","10,2",4,0,0,1,1,0
31,MF0%AC1.5%JL,3,2,1,"71,67","58,12",126,"8,1","8,8","8,9",4,0,0,1,1,0
32,MF0%AC1.5%JL,3,2,2,"67,36","53,48",101,,"6,2","10,7",4,1,1,1,1,1
33,MF0%AC1.5%JL,3,2,3,"63,44","51,58","84,8",,"8,2","9,7",5,0,0,1,1,0
34,MF0%AC1.5%JL,3,2,4,"64,55","51,88","82,9",,"9,4",5,3,0,0,1,1,0
35,MF0%AC1.5%JL,3,2,5,"60,58","52,98","84,8",,"6,8","8,4",0,0,0,1,1,0
36,MF0%AC1.5%JL,4,2,1,"64,08","53,57","92,5","8,4","6,9","8,7",1,0,0,1,0,1
37,MF0%AC1.5%JL,4,2,2,"67,93","52,75","95,8",,"8,3","11,7",2,0,0,1,0,1
38,MF0%AC1.5%JL,4,2,3,"66,97","54,17","96,9",,"9,4","10,3",4,0,0,1,1,0
39,MF0%AC1.5%JL,4,2,4,"61,63","52,79","84,9",,"8,4","9,4",3,0,0,1,1,0
40,MF0%AC1.5%JL,4,2,5,"62,54","53,67",89,,"8,6","10,3",4,0,0,1,1,0
41,MF0%AC3.0%JL,1,3,1,"64,35","54,17",96,"9,4","4,7","9,4",4,0,0,1,0,0
42,MF0%AC3.0%JL,1,3,2,"64,13","52,96","95,6",,"4,2","9,3",0,0,0,1,1,0
43,MF0%AC3.0%JL,1,3,3,"62,8","54,1","83,7",,"5,6","10,1",2,0,0,1,1,0
44,MF0%AC3.0%JL,1,3,4,"61,85","53,32","86,5",,"4,6",9,4,0,0,1,1,0
45,MF0%AC3.0%JL,1,3,5,"64,7","52,27","89,1",,"8,2",9,7,1,4,1,1,0
46,MF0%AC3.0%JL,2,3,1,"71,64","60,04","119,3",9,"6,8","11,1",4,0,0,0,1,1
47,MF0%AC3.0%JL,2,3,2,"55,7","68,96","108,5",,"5,2",11,4,0,0,1,1,1
48,MF0%AC3.0%JL,2,3,3,"65,83","55,19","104,1",,"3,2","10,1",3,0,0,1,0,1
49,MF0%AC3.0%JL,2,3,4,"69,7","56,58","111,5",,"6,6","11,8",2,0,0,1,1,0
50,MF0%AC3.0%JL,2,3,5,"63,51","53,86","90,2",,"4,8","8,9",3,0,0,1,1,0
51,MF0%AC3.0%JL,3,3,1,"64,92","53,37","90,5","9,4","7,5","9,3",5,0,0,1,0,1
52,MF0%AC3.0%JL,3,3,2,"67,43",54,"85,4",,"5,8","1,7",4,0,0,1,0,1
53,MF0%AC3.0%JL,3,3,3,"63,02","53,17","85,2",,"5,9","9,9",3,0,0,1,1,1
54,MF0%AC3.0%JL,3,3,4,"71,82","55,19","108,7",,"5,6","12,9",5,0,0,1,0,1
55,MF0%AC3.0%JL,3,3,5,"64,84","52,76","91,6",,"8,2","9,6",4,0,0,1,1,0
56,MF0%AC3.0%JL,4,3,1,"63,65","54,73","96,4","9,3","6,8","9,3",5,0,0,1,1,0
57,MF0%AC3.0%JL,4,3,2,"61,95","53,12","86,7",,"6,6","9,4",4,0,0,1,1,0
58,MF0%AC3.0%JL,4,3,3,"66,75","54,84","96,2",,"7,4","10,5",3,0,0,0,1,0
